,,clusters,pID,area,n,Price Q1,Price Q2,Price Q3,QCoD,segmentation
0,71,0,71,869.1435764389558,3.0,2449.5598388671897,3130.87651367188,3286.125521414625,0.14585278480239575,MT8cls5sw
0,72,0,72,350.4012735795626,1.0,3072.43790690104,3072.43790690104,3072.43790690104,0.0,MT8cls5sw
0,73,0,73,976.8548000858258,1.0,2755.3257735403,2755.3257735403,2755.3257735403,0.0,MT8cls5sw
0,74,0,74,295.43631869162505,3.0,3780.401367187505,3804.71508789063,4145.65466308594,0.046082603315363416,MT8cls5sw
0,75,0,75,74.54851297121226,1.0,3769.69714355469,3769.69714355469,3769.69714355469,0.0,MT8cls5sw
0,76,0,76,6623.024053799072,37.0,3692.15380859375,3761.05639648438,4242.13361672794,0.069316849598739,MT8cls5sw
0,77,0,77,1370.437942066201,2.0,4686.477142333985,4787.173522949221,4887.869903564455,0.021034620978852486,MT8cls5sw
0,78,0,78,286.78074789826195,1.0,3747.02734375,3747.02734375,3747.02734375,0.0,MT8cls5sw
0,79,0,79,524.0080196374887,2.0,3943.58055419922,4141.03122558594,4338.48189697266,0.04768152197615502,MT8cls5sw
0,80,0,80,2624.3336237838625,5.0,3425.35609266493,3483.29551630435,3483.29551630435,0.008386502449218704,MT8cls5sw
0,81,0,81,5058.28664534667,26.0,3036.630859375,3281.788228352865,3451.822082519535,0.06398924780107984,MT8cls5sw
0,82,0,82,340.2200250084553,1.0,3912.647265625,3912.647265625,3912.647265625,0.0,MT8cls5sw
0,83,0,83,624.5078016770091,1.0,4557.51996034564,4557.51996034564,4557.51996034564,0.0,MT8cls5sw
0,84,0,84,74.12955734593334,1.0,3017.55078125,3017.55078125,3017.55078125,0.0,MT8cls5sw
0,85,0,85,4361.895971929702,11.0,3142.075205485025,3368.57197265625,3756.048543294275,0.08900584567186107,MT8cls5sw
0,86,0,86,291.6068194981751,1.0,3398.62255859375,3398.62255859375,3398.62255859375,0.0,MT8cls5sw
0,87,0,87,5552.996961845908,6.0,3340.1675840198477,3634.72602403429,3737.9495600161326,0.05619884044042078,MT8cls5sw
0,88,0,88,99839.90603348715,246.0,3086.94165039063,3235.437548828125,3453.6823791503903,0.05607121386328879,MT8cls5sw
0,89,0,89,127.4611103334277,,,,,,MT8cls5sw
0,90,0,90,201.57721546391045,1.0,2958.63507080078,2958.63507080078,2958.63507080078,0.0,MT8cls5sw
0,91,0,91,10.518439431470613,,,,,,MT8cls5sw
