,clusters,area,n,Price Q1,Price Q2,Price Q3,QCoD,segmentation
4,4,27849587.057480946,607.0,2885.872314453125,4362.60888671875,5017.448923746745,0.2702921493858733,H3_from_ET8cls5sw
5,5,18551447.54749906,5881.0,2927.11481267756,3803.06160481771,4919.9694281684,0.25697670046807075,H3_from_ET8cls5sw
6,6,11488868.892034115,11813.0,2840.40501493566,3525.80129665799,4426.79770333426,0.23030880722168492,H3_from_ET8cls5sw
7,7,9297618.47526693,10262.0,4343.4333180018875,4852.978099127235,5313.089669363842,0.09764960849788742,H3_from_ET8cls5sw
0,0,33731653.255392455,48787.0,3156.285111860795,3896.92236328125,4730.4428051098,0.17111754803467252,H3_basic_8cls1sw
1,1,14006208.190867532,1445.0,3490.02209472656,4246.3203125,5064.5780806108,0.228922892659882,H3_basic_8cls1sw
2,2,2866127.658134517,4.0,4098.347229003907,4485.48035830543,5100.7193167550195,0.1688984098155065,H3_basic_8cls1sw
3,3,979689.9021918487,4.0,4119.410711157025,4271.318549008295,4463.534102799055,0.18051421220908756,H3_basic_8cls1sw
4,4,350898.22776244086,,,,,0.2702921493858733,H3_basic_8cls1sw
5,5,4926903.079416047,517.0,4569.22477213542,4969.45235188802,5274.03425480769,0.25697670046807075,H3_basic_8cls1sw
6,6,219365.6626694622,,,,,0.23030880722168492,H3_basic_8cls1sw
7,7,23987592.549512837,11046.0,2891.7589111328125,3739.92493293399,4657.254816036412,0.09764960849788742,H3_basic_8cls1sw
0,0,4643970.817715243,,,,,0.17111754803467252,H3_charsfrom_ET8cls5sw
1,1,16753745.745420456,1464.0,3469.7019546241127,4490.336842438401,5131.921086545847,0.228922892659882,H3_charsfrom_ET8cls5sw
2,2,9988030.044798022,15.0,1573.4445190429701,2440.46606445312,2848.890158134595,0.1688984098155065,H3_charsfrom_ET8cls5sw
3,3,292486.18218071613,,,,,0.18051421220908756,H3_charsfrom_ET8cls5sw
4,4,22980056.451201834,13176.0,2880.913455009465,3781.1956787109402,4698.284912109375,0.2702921493858733,H3_charsfrom_ET8cls5sw
5,5,29264008.16208439,44085.0,3196.83381347656,3922.67276436942,4751.84796697443,0.25697670046807075,H3_charsfrom_ET8cls5sw
6,6,2968170.285465617,35.0,3123.7787309126397,3522.60602213542,4102.35200451763,0.23030880722168492,H3_charsfrom_ET8cls5sw
7,7,20845372.39333084,3034.0,2363.286865234375,3660.278076171875,4221.129150390625,0.09764960849788742,H3_charsfrom_ET8cls5sw
0,0,91198710.51218286,58325.0,3084.75493774414,3827.41748046875,4680.91552734375,0.17111754803467252,constrained_15cls
1,1,2611263.9502051645,623.0,5065.213745117189,5631.41064453125,6105.742513020835,0.228922892659882,constrained_15cls
2,2,101291.13199841147,193.0,3897.01528320313,4189.42020089286,4418.58752441406,0.1688984098155065,constrained_15cls
3,3,52178.93063746424,92.0,2407.32152642144,2576.1080322265652,2800.852241516115,0.18051421220908756,constrained_15cls
4,4,469344.6174557238,,,,,0.2702921493858733,constrained_15cls
5,5,2617544.974587561,178.0,3585.3597412109402,3825.7567138671902,4013.3666381835974,0.25697670046807075,constrained_15cls
6,6,1254034.0240197203,,,,,0.23030880722168492,constrained_15cls
7,7,1805.8497831962843,,,,,0.09764960849788742,constrained_15cls
8,8,17969.03534576929,57.0,2824.5458984375,3087.89660644531,3398.97745768229,,constrained_15cls
9,9,160936.86622786988,86.0,3878.613098144535,4085.8897705078152,4237.21728515625,,constrained_15cls
10,10,1571666.2830052162,2048.0,4528.551631673177,4906.959339317909,5259.312432143265,,constrained_15cls
11,11,36743.71357486859,86.0,2765.71551992379,3099.81567382813,3473.3801879882826,,constrained_15cls
12,12,784651.6072798285,,,,,,constrained_15cls
13,13,34036.77197106511,57.0,3618.81909179688,3979.04638671875,4114.97525024414,,constrained_15cls
14,14,33126.59901734781,50.0,2671.48901367188,2671.48901367188,2671.48901367188,,constrained_15cls
0,0,1268609.926553637,360.0,2791.67903137207,3051.06031454763,3347.4496267443524,0.17111754803467252,barris
1,1,297069.48731498857,269.0,3638.89460100446,3862.32585797991,4208.0341796875,0.228922892659882,barris
2,2,1100286.13571364,1700.0,3544.3506580699523,3777.717111298535,4035.9776800246477,0.1688984098155065,barris
3,3,815593.9379149141,1089.0,4426.13838334517,4731.28125,5070.59487304688,0.18051421220908756,barris
4,4,1179381.9507885198,852.0,4674.10747419085,4924.751953125,5109.707861328125,0.2702921493858733,barris
5,5,1109668.7797898576,1373.0,4505.88844992898,4836.6884543679,5159.13981119792,0.25697670046807075,barris
6,6,929355.7803568053,586.0,4180.663576126097,4518.47230132287,4822.231691800633,0.23030880722168492,barris
7,7,1041829.3468959394,1483.0,4028.487133789065,4358.91528320313,4669.52603931916,0.09764960849788742,barris
8,8,2119874.214324659,1898.0,5049.519266941237,5405.474187677555,5672.486813354492,,barris
9,9,1228435.8355559418,1457.0,5055.31880696615,5313.09465680804,5550.13758680556,,barris
10,10,1340701.1590491454,1236.0,4444.37248447963,4784.367725719105,5040.273727416992,,barris
11,11,804106.8774433777,1033.0,4162.02783203125,4402.31005859375,4671.28600431744,,barris
12,12,4585321.407166517,1451.0,3736.2552490234402,4028.7551551232,4287.13062756471,,barris
13,13,14237476.074939813,50.0,2326.5447998046902,2893.3163452148447,3136.0690612792996,,barris
14,14,1669219.7234541317,1663.0,5127.505546374199,5379.08798828125,5652.40192101389,,barris
